titulo,institución,url_curso,id_curso,reseñas,revisores,fecha_reseñas,valoración
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/python-statistics-financial-analysis,python-statistics-financial-analysis,"【Now you know Prof. Xuhu Wan, please avoid his course in HKUST】0. Course Equivalence😐This course basically covers 50% content of MATH2411 Applied Statistics (I heard there is ISOM2500 that is similar to MATH2411?). Accidentally I took 2411 right before this winter when this course is out, so I found this course quite disappointing because I expect some practical manipulation of Python is covered while it doesn't. More is discussed in #3.

1. Teaching ☹If you have the experience of recording a video presentation eight hours before the deadline, with scripts written three days before and you hadn't recited or even gone through it in these three days, you will find the professor the same unpassionate. You will find his tone flat enough and gestures unnatural enough as if he is not emphasizing on anything but focusing to recite his scripts. You will find him lag a lot at strange and unnatural spots as if his brain goes blank and he quickly reads the copy of scripts next to the camera.

I thought business people cares a lot about presentation, but I was wrong.

2. Subtitle 😡There are tons of me steaks in the subtitles, not only tipos but also worlds of cellar pronunciation. 
(There are tons of mistakes in the subtitle, not only typos but also words of similar pronunciation.)

I enable subtitle because I sometimes can‘t understand the professor's perfect Mainland accent, but it turns out the subtitle is on his side but not my side. 

I thought business people are very strict about the material that comes along with their presentation, that they always carefully spellcheck every sentence. But I was wrong.

3. Content 😐3.1 Overall:
Please rename this course ""Python and applied statistics"". The professor spends sooooo much time talking about the statistics concepts and spends soooo little time applying the knowledge to financial analysis. It is not about ""Statistics for Financial Analysis"". Replace the data he uses for demonstration with GPA of every student and it becomes ""Statistics for Being HKUST President"" or ""Statistics for Anything"". I feel I am taking an introduction course to statistics and financial analysis is just an excuse the teacher use to show us the content he teaches is somewhat useful.

3.2 Pace:
You MAY find the pace quite fast because:
    The teacher throws many statistics concepts
    The teacher cannot fully explain the concepts (or it is not a 4 week course) so he moves on before you ever (perhaps never will) digest the previous concepts

This is extremely annoying in week 4, e.g. Multiple Linear Regression is taught without introducing a single formula, merely Python codes and black boxes behind them. (Actually this is the way I originally expect the professor to do, but it is quite inconsistent with the style in week 1-3)

You MAY find the pace quite slow because:
    After all this course introduces formulas and codes and let you to use them without knowing why. 

So I would say this is a 4-day course if you can spare 1 hour each day. After all you are not asked ""why"" but only ""how"". If you haven't taken MATH2411 or ISOM, you can spend more time on week 2 & 3 to understand the underlying knowledge. Week 1 is simple and week 4 is needless to comprehend.

4. Jupyter Notebook (JN for short) 😡4.1 Poor Exercise
Almost useless. Just a copy of the codes appeared in the video, with some variables assigned None instead of the correct expression. Your job is to change the lines of variable assignment (usually one or two lines), and the rest is done for you. Some notebooks are even 100% done for you, and all you need to do is look at it and appreciate. Even if you are fiddling with provided exercises, you don't know how to use JN, because...

4.2 Irresponsible adoption of JN
If you want to do some real exercise, you may want to append empty cells below the given content and type codes from scratch. But oh, this course does not teach you how to use JN! It just throw you a tutorial link of how to INSTALL JN ON YOUR COMPUTER{https://www.datacamp.com/community/tutorials/tutorial-jupyter-notebook}. What a shame!

Quickly gone through the linked tutorial, it assumes you have installed multiple instance of Python on your desktop, and know basics of pip, conda, docker, and virtual env, and teaches you how to install and configure JN in various dev. environments. But you just mentioned we can use Coursera's pre-installed JN out-of-the-box, why you want us to learn that huh? And to create cells, run cells, run several cells in order, run all, and other basic operations, is hidden in the last seconds of GIFs, not explicitly explained.
I guess the professor is TOO UNRESPONSIBLE to not only teach students how to use JN himself, but also SPEND AT LEAST SOME TIME to check if the external tutorial really ""explains how to use Jupyter Notebooks"". Please, not every one taking this course is CS student like me, SBM students they may not know how to use Python stuff.

5. Coursera Technical 😐Quizzes do not provide correct answer. So it is not that helpful. But getting 80% is not that hard either. But given the assumption that you can't use JN (explained in #4.), you lose at least 10% in Quiz 3 and 20% in Quiz 4. Oh that hurts! (Since Notebook 4.4 is done for you, another 20% in Quiz 4 related to JN is okay.)",By Zeyu H,"Jan 20, 2019",1
Bugs 101: Insect-Human Interactions,University of Alberta,https://www.coursera.org/learn/bugs-101,bugs-101,"A good basic overview of the insects (and some other arthropods); I would have preferred more time spent considering insect diversity and behaviour, and rather less on control methods; maybe this could be covered in Bugs 102? Unfortunately the presentation was very dated with the rather wooden speakers sitting in front of the camera apparently reading from the auto-cue.",By John H,"Sep 26, 2019",4
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,https://www.coursera.org/learn/autodesk-revit-architectural-design,autodesk-revit-architectural-design,hard to understand,By Deleted A,"Jun 28, 2020",1
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,https://www.coursera.org/learn/leading-for-equity-diversity-inclusion,leading-for-equity-diversity-inclusion,"Very informative course with useful knowledge about diversity and equity. The course was well organised and introduced from the historical stories about diversity and equity in higher education. Although there are so many readings, the tools and knowledge introduced in the course were very effective.",By SUNCHAI K,"Jun 03, 2020",3
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,https://www.coursera.org/learn/enterprise-architecture,enterprise-architecture,"Good and informative course, but the instructor is sometimes very difficult to understand, some of the questions in the tests don't make sense due to very poor grammar, and jargon or technical terms are frequently used where more simpler language would be more beneficial. However, as a initial introduction to Enterprise Architecture and the use of ArchiMate this was a very useful case.",By Mark B,"May 10, 2020",3
Introduction to Spreadsheets and Models,University of Pennsylvania,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,wharton-introduction-spreadsheets-models,"The information is glossed over quickly and does not prepare the learners for the quiz questions at all.  The quizzes are set up in such a manner that it is extremely difficult to learn from them.  There is no feedback on written in answers, which makes it impossible to understand the mistake that was being made.  The questions on the quiz were also more specific and demanding than any lecture or material from the course would suggest.  Interesting material presented in a poor manner.",By  N B,"Apr 21, 2019",1
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,https://www.coursera.org/learn/human-needs,human-needs,"I wanted to like this course. The topic is so interesting, but it is incredibly poorly presented. It seems everything is very surface and there is no way to properly understand the material because the short videos don't give enough information. lt seems like they are trying to drag information from the professor who doesn't want to give it. The video quality is very poor as well.",By Jenifer M,"Jan 15, 2018",1
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,https://www.coursera.org/learn/clinicalsimulations,clinicalsimulations,"Being the Simulation Specialist for our center and not the Manger or Educator/Facilitator I found some sections of the course to be dry and boring. It felt like I was listening to a power point. Visual stimulation would have benefited this course greatly. Using b-roll of videos, photos, and materials would make this course  a lot more engaging. The last section on SPs had cut-to videos during the presentation which I liked and helped the information I was learning soak in. ",By Brian H,"Aug 21, 2019",2
Budgeting and Scheduling Projects,"University of California, Irvine",https://www.coursera.org/learn/schedule-projects,schedule-projects,"I did all four courses - the whole specialization. Each course in itself was aright and I learned new things. However, the course certificate is meaningless. It neither states the content nor the effort (for example the hours). Instead, it even says ""non-credit course"". This is despite the fact that the course equates ""35 PDU's"" and ""counts towards the UCI Project Management Certificate Programm""; as it was described in the FAQ. I feel betrayed. How can I apply with such a meaningless peace of paper anywhere?",By Michaela G,"Aug 31, 2016",1
Machine Learning for Business Professionals,Google Cloud,https://www.coursera.org/learn/machine-learning-business-professionals,machine-learning-business-professionals,Basically an advertising for Google services. Labs are especially useless. The lady doing the video sounds like a drug infomercial on TV.,By Guillaume B,"Apr 11, 2020",1
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,intro-accounting-data-analytics-visual,Useful for those interesting in learning more about data analytics using Excel! Might be a little content heavy towards week 6 but it was interesting nonetheless with plenty of hands-on assignments. ,By Lim J H G,"Jun 04, 2020",4
Spanish Vocabulary: Meeting People,"University of California, Davis",https://www.coursera.org/learn/spanish-vocabulary-meeting-people,spanish-vocabulary-meeting-people,This course is sadly very frustrating and I have had Spanish and French previously. I don't know how anyone with no Spanish experience would be able to finish the first week's worth of lessons without a lot of outside help and reference. I would expect that a course such as this would have all the reference you'd need to help you translate the material for the practice sessions. It seems like the reference and the practice were created at different times without any continuity. I have dropped this course and will continue with my other audio course.,By Michelle S,"Jul 06, 2017",1
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/gestionempresarialpyme,gestionempresarialpyme,"He realizado las actividades correspondientes a los 4 primeros módulos y ahora que quiero realizar el 5° para concluirlo, no hay histórico. La plataforma me envía al inicio del curso, ¿qué pasó con las evaluaciones realizadas? según los resultados de las evaluaciones, fueron aprobadas. Me indican, por favor, ¿qué procede?.",By Elisabeta R,"Apr 05, 2020",1
Public Policy Challenges of the 21st Century,University of Virginia,https://www.coursera.org/learn/public-policy,public-policy,"Did not like the course, complicated concepts and poor representation. ( i still really really appreciate the efforts of those who put it together with their hard work) ",By Tooba K,"Sep 09, 2015",1
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,https://www.coursera.org/learn/arbitration-international-disputes,arbitration-international-disputes,"The course is very intense and full of information. However, the course lacks practical approach on Arbitration. It tends to feed the subscriber too much materials under a very limited time.",By SOUMIK M,"Nov 04, 2019",3
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,https://www.coursera.org/learn/introancientegypt,introancientegypt,"The presentation is monotonic, heavy in non-essential facts, and extremely rapid.  Visuals are not well supported with the use of pointer. Visuals are often repeated.  The richness of the Penn museum is not taken advantage with an introductory tour.  The course is not well organized.  There are not enough quizzes to test your knowledge.  The quizzes are very difficult, especially that they come so very late after 10 videos.  There is only 1 guest.  Everything else is presented by the main presenter.  ",By Sylvie B,"Feb 08, 2020",1
Financing and Investing in Infrastructure,Università Bocconi,https://www.coursera.org/learn/infrastructure-investing,infrastructure-investing,"While content was present in theory, would have appreciated if there was more practice content on the financial modelling aspect of investing in infrastructure. Also, there was very little content related to different PPP models that are there.",By Nitin G,"May 09, 2020",3
Global Environmental Management,Technical University of Denmark (DTU),https://www.coursera.org/learn/global-environmental-management,global-environmental-management,"I didn't like the course. It gives you a really vague and generical overview of environmental managment, with little to no structure in the lessons / course approach. Some teachers talk about highly specific and theoretical things, fast and brief, others talk about vague approaches, most of them without making any clear points. Some don't even seem to know what they're there for, as if they didn't have time to prepare a lesson; it seems like they were approached in the middle of the campus and asked a few questions (that don't seem prepared either). Just three or four teachers taught something as a well structured overview class. It is extremely focused on water and waste management: what about energy, soil, landuse, forestry, agriculture, urban planning, policies...? It feels more like a series of video-overviews of the studies / teachers / research branches that are going on at DTU, which is fine, but I wouldn't call it a course at all.",By Miguel L,"Jun 25, 2020",1
Operations Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-operations-analytics,wharton-operations-analytics,"I think that this course has turned out to be too much ""basic"" according to my education. I believe that it was too much Excel-oriented (with really basic Excel notion).",By Andrea M,"Nov 05, 2016",1
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,https://www.coursera.org/learn/entrepreneurship-strategy,entrepreneurship-strategy,My certificate does not want to be released,Started Sep 28,"Jul 20, 2020",1
FinTech Law and Policy,Duke University,https://www.coursera.org/learn/fintechlawandpolicy,fintechlawandpolicy,"Excellent course.  Clear and concise, yet complete, presentation of a most contemporary topic in Law, involving a fast changing market, with varied and innovative interconnected, usually cross-border, ecosystems.This course merits updating after the Covid-19 pandemic, especially regarding algorithm accuracy verification, players still standing, vc/ico historic series and regulatory response to the effects of such a brutal and prolonged series of ongoing global events.",By Antonio F d O G,"Jul 05, 2020",4
The Social Context of Mental Health and Illness,University of Toronto,https://www.coursera.org/learn/mental-health,mental-health,"Very dissappointing course. It is outdated. It is evident that it was created in 2013 and has not been updated since then. As a consequence, it refers to disorders that don't exist any longer in the current taxonomies and is based on DSM-IV althouth the DSM-5 was released 7 years ago!",By Katerina M,"Aug 24, 2020",1
What Is Contemporary Art?,The Museum of Modern Art,https://www.coursera.org/learn/contemporary-art,contemporary-art,"Todo está perfecto. Excepto mi certificado. Quién lo firma? es una burla? pone  ""signature"", por qué no o firma nadie del MOMA? por qué nisiquiera lo firma uno de los profesores? es un curso real del MOMA? quiero saber quién firmó mi certificado y exio sea corregido y sea real. Yo hice mi curso con consciencia y dedique tiempo y pagué mi certificado. quiero respuestas. Gracias",By Adriana S,"Mar 19, 2020",1
The Art of Music Production,Berklee College of Music,https://www.coursera.org/learn/producing-music,producing-music,"Very short course that is even shorter considering the fact that 90% of it is basically pure water. Even a beginer could hardly find any useful info here, but will probably be stopped by submition tasks which ask you to record you own music, which is kinda odd considering that this is the first recomended course in specialisation that does not require any background knowledge.",By Alexander K,"Jul 22, 2018",1
Biohacking Your Brain's Health,Emory University,https://www.coursera.org/learn/biohacking-your-brains-health,biohacking-your-brains-health,"In the quizzes, they were asking questions that had nothing to do with the course or  were related to brain health but weren't covered exhibition point",By Jonathan G,"Dec 31, 2019",1
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",https://www.coursera.org/learn/bayesian-statistics,bayesian-statistics,I don't find that the lectures do a good job of relating the material to real world usage. To much focus on equations and too little on the why.,By DM C,"Jun 11, 2018",1
Reporting extra-financier et stratégie RSE,ESSEC Business School,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse,reporting-extra-financier-strategie-rse,"Contenu pertinent mais la forme ne permet pas la meilleure appropriation du sujet à mon sens. Les interview sont intéressantes mais manquent de structure. Les résumés de chaque semaine, sont les points clés de compréhension. La stratégie RSE ne m'a pas pas semblé être au coeur du sujet contrairement au reporting extra-financier.Dans tous les cas, merci de nous avoir présenter ce sujet.",By Sophie M,"Jun 24, 2018",2
Leading Healthcare Quality and Safety,The George Washington University,https://www.coursera.org/learn/quality-healthcare,quality-healthcare,"Old literature, not much interaction, monologues from 2 people, not very engaging. I am completing another course at Coursera at the moment ""Unraveling the city center"" and its a whole new experience - interactive, interesting, engaging. ""leading healthcare quality and safety"" could learn a lot and improve their quality :)",By Dr. L B,"Apr 28, 2020",2
Understanding International Relations Theory,National Research University Higher School of Economics,https://www.coursera.org/learn/international-relations-theory,international-relations-theory,"This course is a SCAM. DO NOT PURCHASE! In the last assignment, they will not grade it and then they will make you retake it and you can only do so IF you RE-PAY the course. And the worst part is, there is no where you can ask for help about it or to place a complaint. Worst course EVER! DO NOT PURCHASE!",By Gloria G d R,"Aug 18, 2019",1
Introduction to Data Analytics,IBM,https://www.coursera.org/learn/introduction-to-data-analytics,introduction-to-data-analytics,"Fantastic introduction.-1 star for my peer-graded experience. I took my time to write out well though out answers instead of copy-pasting from the guide, like the individual I graded (answers in my own words should have been OK). Whoever peer-graded me either did not bother to read my answers or the instructions where it said your own words are OK and rendered me 1/7 points. I found this infuriating. If my Coursera experience continues like this I will likely not recommend or return.",By James N,"Sep 21, 2020",4
Fundamentos de Excel para Negocios,Universidad Austral,https://www.coursera.org/learn/excel-para-negocios,excel-para-negocios,"El trabajo final fue evaluado incorrectamente. Aprendí mucho en el curso pero la forma o manera de colocar a compañeros a evaluar no me parece correcto, ya que muchos de los trabajos que me tocó evaluar ni se acercaban a lo mínimo solicitado. Me tocaron trabajos incompletos y trabajos con archivos que no corresponden, entonces cómo van a colocar a un estudiante que entrega un trabajo final mal hecho a evaluar a otro estudiante? Menos mal no pague el certificado, me parece poco profesional esto. En los foros de discusiones, muchos piden que los evaluen bien para que ellos evaluar bien, no es un curso serio cuando el estudiante debe evaluar a otro, ya que se presta a fraudes. ",By Enrique G C,"Oct 03, 2020",1
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,gcp-infrastructure-scaling-automation,It did not recognize my progress through week 2. I cant complete this module!!,By Deleted A,"Mar 06, 2019",1
Cultural Competence - Aboriginal Sydney,The University of Sydney,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney,cultural-competence-aboriginal-sydney,"I was pretty disappointed with this class. I really wanted to learn more about the Aboriginal culture, philosophies, and just about the way of life of these people (ie spiritually, family structures, migration, etc.). This class is more centered around how the native people, today, are living in society, and how they combated discrimination throughout their lives. It all really focuses on post-colonial contact.",By Catherine H,"Dec 22, 2018",2
Fundamentos de Finanzas Empresariales,Universidad de los Andes,https://www.coursera.org/learn/finanzas-empresariales,finanzas-empresariales,Una vez acabas el curso cuesta mucho conseguir el certificado. Vais a sentir que perdéis el tiempo,By Asier G N,"Jan 11, 2017",1
Greening the Economy: Sustainable Cities,Lund University,https://www.coursera.org/learn/gte-sustainable-cities,gte-sustainable-cities,"This course is a bunch of overlapping, wannabe TED talk-style videos full of hippie waffle. There is very little actual content, poor structure, and you can save time and pass the quizzes using google. I really struggle to understand how this got 4.6 out of 5 on Coursera. Fake reviews? ",By Alex M,"Jan 25, 2018",1
Introduction to Engineering Mechanics,Georgia Institute of Technology,https://www.coursera.org/learn/engineering-mechanics-statics,engineering-mechanics-statics,"In my opinion, the course is thrown at you. I felt as though I was not being taught, was just given information. I had to find more in depth explanations, solutions and help via other sites. The course set up is great; easy to navigate, see and understand. Once I am more knowledgeable in this subject, I will revisit the course.",By Nortasia P,"Oct 23, 2018",1
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,https://www.coursera.org/learn/design-strategy,design-strategy,This course is extremely basic and isn't really worth your time. The weekly assignments aren't challenging nor highly revealing and the whole course could've been summarized in a single week as part of a bigger one. The final assessment is the creation of a Business Model Canvas which isn't really explained in the lessons and you could just Google how to make it if you've never seen one before. The main instructor Eric Knight barely appears in the course and all the lessons are provided by Dr Carla Harris; this is actually the only good thing about the course since she is very well prepared and knowledgeable. Still there are way better design thinking courses in Coursera so check out those before because sadly this one isn't worth it.,By Felipe E V C,"Jul 12, 2020",1
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,https://www.coursera.org/learn/bioinformatics,bioinformatics,"This is a poor course for Python beginners. There are two things going on here -- CodeAcademy, which has a nicely thought out, clear explanation of basic Python programming. Then there is STEPTIK--the big problem is that the very basic programming instruction in CodeAcademy does provide adequate background to successfully solve the problems in STEPTIK. The STEPTIK section should build on/fill in the gap between what we learned in Python and we need to still learn to complete the problems. Many of the solutions provided in the solutions forum use coding that was not introduced to us in CodeAcademy.This course may work for computer programmers who want to explore Bioinformatics. After trying twice to complete Week 1, I finally gave up. What's the point if I have to copy solutions from the Solutions forum (that I don't understand) to proceed? I'm glad I did not purchase the course before I tried out Week 1.",By Kerry,"Jan 15, 2019",1
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,https://www.coursera.org/learn/medical-research,medical-research,"While Professor Wilson was very intelligent and knew his information, the class was so boring! No offense but there was way too many lectures and way too much in the form of statistics.",By Kimberly S S,"May 29, 2020",2
Health Behavior Change: From Evidence to Action,Yale University,https://www.coursera.org/learn/health-behavior-change,health-behavior-change,"Very interesting, dynamic and motivational. ",By Elaina A d S,"Jun 01, 2020",4
Ordered Data Structures,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/cs-fundamentals-2,cs-fundamentals-2,The audio quality is bad in many of the videos. The content covered in the lectures is too easy compare to the programming assignment. The attempt to deliver knowledge through the comments in the files are not clear and efficient because many details are distracting. ,By Zhanzhi J,"Apr 03, 2020",2
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,https://www.coursera.org/learn/mindshift,mindshift,"​‎I expected that I could learn something new from this course, but I found that there is just the same things taught in this course that there is in 'MOOC Learning how to learn'.  As Prof. Oakley mentioned, you shouldn't learn something you've understood. It's a bad thing called ""overlearning"" since it would make me think that I can resolve any problem by what this course taught, but it isn't the case.",By Cecile H,"Mar 18, 2018",1
Programming Fundamentals,Duke University,https://www.coursera.org/learn/programming-fundamentals,programming-fundamentals,"The description says this course is for beginners to programming, but you are expected to know more than the instructors to pass some of the quizzes, and there is no help for your incorrect answers.  Do not pay for this course unless you know you can pass the quizzes, especially the quizzes for week 3. They are extremely difficult and not designed for learning.",By Matthew L,"Jun 26, 2019",1
Understanding Financial Markets,University of Geneva,https://www.coursera.org/learn/understanding-financial-markets,understanding-financial-markets,"Not happy about the course. Very very general information. This can be obtained through any internet reading and doesn't require a purchase of the course. 79 dollars is not peanuts for many countries. The lecturers often refer to the videos which are not part of this course. Examples: PPP valuation has not been part of lectures, but is referred to. Maturity and duration of the bond comparison with the glass of water is referred to, but was not part of the course. For the money - we are getting some shorter version of a bigger course. Not satisfied at all. Just finished all the tests and passed, but not happy. Do not recommend to anyone and surely will not buy the next course. ",By Alexey K,"Sep 04, 2016",1
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,https://www.coursera.org/learn/painting,painting,"Information got too repetitive again. Course was too difficult to understand, and that I got bored immediately. This is another worst art course I have taken as well. Could have done better with the information and the videos. I give this course a 1 star out of 5.",By Eric J,"Jul 09, 2020",1
Drug Commercialization,University of California San Diego,https://www.coursera.org/learn/drug-commercialization,drug-commercialization,This course desperately needs to be updated,By Carrie S,"Aug 17, 2018",2
Introduction to Software Product Management,University of Alberta,https://www.coursera.org/learn/introduction-to-software-product-management,introduction-to-software-product-management,"Course title is misleading. It is actually a course on Managing Agile Software development, not Product management.There is common understanding in active product management community that major focus for product manager is market. Market is not mentioned in this course at all.What requirements and schedule, guys??? Current product management is all about hypotheses, A/B testing, customer development, experiments, lean UX, etc.You completely missing the point.Still, this course can be a good one for those who want to start Managing agile software development.",By Denis B,"Oct 25, 2015",1
"Social Norms, Social Change I",Unicef,https://www.coursera.org/learn/norms,norms,I found it very difficult to engage with this course which is surprising due to its exciting potential ,By peter t,"Aug 01, 2017",1
Excel Skills for Business: Intermediate II,Macquarie University,https://www.coursera.org/learn/excel-intermediate-2,excel-intermediate-2,"It is fine for week 1-5, then you will be totally lost in week 6, as the level suddenly jump from intermediate to advanced, while there is insufficient explanation and examples in the video. I passed my final assessment, but most of the questions covering week 6 are incorrect.",By Kayla H,"May 12, 2020",1
Aboriginal Worldviews and Education,University of Toronto,https://www.coursera.org/learn/aboriginal-education,aboriginal-education,"This course has great intentions and decent content.But this course is NOT set up well. The lay out of the course is clunky and full of broken links. I have zero idea how they have a 4.7/5 star rating unless they refuse to publish negative reviews. I have taken a course through Coursera before without any issues, but this one needs an overhaul to be worth your time. ",By Colton W,"May 22, 2020",1
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,https://www.coursera.org/learn/information-systems-audit,information-systems-audit,I was really disappointed as I consider that the quality of the material does not correspond to the academic level requirements. Some of the information is insufficiently explained and does not help the user understand the subject matter. The level of English language used is quite poor.,By Ion S,"May 30, 2020",2
Six Sigma Principles,University System of Georgia,https://www.coursera.org/learn/six-sigma-principles,six-sigma-principles,"Coursera clearly states that the campanion texts are not required but will be an asset. I decided to sign up for the Yellow belt course without having the book (since it was pricey). Lo and behold, the first exercise is to read the first chapter of the book, and further more, when I got to the quiz, I recognize that some questions I've never heard about! So then I tried locally in my country to source the book but was unable to. I ended up having to buy it off of Amazon and pay international shipping. Mind you, time is passing and I had to reschedule until my book arrive. All this time I'm paying for a service I'm not yet able to use. I'm unable to find a way to speak with Coursera support to start my payment at a later date. SMH! If they were straight up with this information, I would be in a position to make better decisions that would be less expensive!",By Andrea B,"Sep 09, 2018",1
Business Writing,University of Colorado Boulder,https://www.coursera.org/learn/writing-for-business,writing-for-business,"Most of the things are similar comes again and again in discussion. There is no solid course material provided, as to review. Not designed accordingly some industrial practical examples. Too much examinations at each step, of no use, as learning focus divert due to this. Asking plenty of examinations during the course, not reflect in terms of achieved learning requirement . Thanks ",By Muhammad F A ( D - M A,"Jul 22, 2020",1
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,https://www.coursera.org/learn/autodesk-autocad-design-drafting,autodesk-autocad-design-drafting,"If i could  give it 0 stars I WOULD! This course was not as advertised. It felt like it was created by people who had never taken a class in their lives and don't understand the fundamentals of education. The post video questions sometimes didn't align with the material in the videos. The idea of having to PASS a PRE-ASSESSMENT before taking the course was so illogical that I ended up trying to pass that after I had finished the first week of classes. As for the exam questions, they were terrible. The questions did not ask the right things, they weren't questions about what certain commands do but about ""which grip options show up with poly lines or arcs?"" These questions are so useless and not what EDUCATION is about, it was extremely unhelpful to say the least. I cannot believe i paid $50 for this, I have learned more about this software from FREE YouTube videos than from this $50 ""CERTIFIED"" course. Im extremely disappointed with this product and am so happy to be done with it. THANKS FOR THE CERTIFICATION SUCKERS! ",By Will K,"Oct 01, 2020",1
Introduction to Typography,California Institute of the Arts,https://www.coursera.org/learn/typography,typography,"The instructions for the final project -- the project is the biggest part of the grade -- are ambiguous. I posted on the Discussion Forum for clarification. No response. I looked up the contact information for and wrote the professor of record for clarification. No response. Peer reviewers marked me down for my interpretation. Disappointing. I want to continue on with the specialization, but if no one of knowledge and experience is monitoring student progress -- why should I? Please note: On other Coursera courses I have sometimes sought and received clarification for assignment instructions. This is first time I have received none, so this is my first bad experience with my go to platform for self-learning. Disappointing.",By Lynda R,"Oct 31, 2019",1
Customer Segmentation and Prospecting,Northwestern University,https://www.coursera.org/learn/customer-segmentation-prospecting,customer-segmentation-prospecting,you donr even provide results ,By shreya g,"Jan 20, 2019",1
Claves para Gestionar Personas,IESE Business School,https://www.coursera.org/learn/gestionar-personas,gestionar-personas,El certificado debería mostrar el número de horas tal cual lo hacen en su par de edx.org!!!,By Andrés I C P,"Sep 05, 2020",1
English for Journalism,University of Pennsylvania,https://www.coursera.org/learn/journalism,journalism,"Not at all what I had imagined...First of all, they OVERCHARGE you from the very first week. There are roughly EIGHT HOURS of videos/readings to do; this is ridiculous. On top of that, there are at least 5 quizzes each week. Unbelievable. I think the instructors need to understand that not only are we preoccupied with other stuff in our lives (e.g. other Coursera courses), but this excessive amount of work every week on a COMPUTER is simply harmful to our health.Side note: if you expected to learn about the use of the English language, sorry to disappoint, but there are a lot of (at least to me) unimportant lessons on the history of journalism and such.So if you have all the time and health in the world, I guess this course is for you; but otherwise, don't even bother to enroll.",By Arman M,"Jun 02, 2020",1
How Things Work: An Introduction to Physics,University of Virginia,https://www.coursera.org/learn/how-things-work,how-things-work,it so boring,By ron r,"Feb 14, 2016",1
Business English: Networking,University of Washington,https://www.coursera.org/learn/business-english-intro,business-english-intro,"It absolutely amazing course , I personally benefit a lot. really it's not just the certificate .Thank you Coursera for this huge chance.",By Mubarak M,"Sep 04, 2016",1
Summary Statistics in Public Health,Johns Hopkins University,https://www.coursera.org/learn/summary-statistics,summary-statistics,it was below my expectation. It should be labeled as an introduction to epi.,By Saad A,"Aug 31, 2019",2
Global Energy and Climate Policy,University of London,https://www.coursera.org/learn/globalenergyandclimatepolicy,globalenergyandclimatepolicy,"This course has not met my expectations. First of all, it is not mentioned anywhere in the description that it is an interview-based course. I think this is important information that you should include in the description. In my opinion, a set of interviews does not qualify as a course, but rather as a debate. People are providing opinions and not facts.Another important point is that several of the links on the reading material are outdated and do not work.On a happy note, I find that Ms Felicia Jackson has been excellent in her discussion.",By Maria E R,"Jun 05, 2020",1
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,https://www.coursera.org/learn/legaltech,legaltech,"A pesar de que el curso brinda muchos ejemplos relacionados a las nuevas tecnologías que han salido para mejorar y hacer más eficiente el trabajo del abogado, siento que la contribución se detenía en esa área. ",By Jessica D P S B,"Aug 17, 2020",4
Probability and Statistics: To p or not to p?,University of London,https://www.coursera.org/learn/probability-statistics,probability-statistics,"Horrible. Too much talking or woffling as i came to call it. Dumbed down too much. We know what a toolbox is. Don't give us an example of how a toolbox is used. This is just an example of the level of stupidity you must assume your students have.Week 1 was a waste of time and weeks 2 and three could have been summed up in a 10 minute video.You skipped over probability and straight into statistics without mentioning any of the useful things of probability like the laws of probability. Communicative, Distributive etc. I've learnt almost nothing from this. Will not recommend at all. Not useful at all.",By Rodney M,"Mar 10, 2019",1
